,LONGITUDE,LATITUDE,SPD,LEN,ACC,VOL,F85th,LOCAL,F50th,Precip,Air max,min,obs,hour,Accident
2821,-121.799735,37.2409491,20,2900.0,3.0,5100.0,23.0,0,21.0,0.2,64,46,55.0,9.0,0
2822,-121.8075095,37.2519135,35,1100.0,22.0,14800.0,37.0,0,33.0,0.0,75,54,64.5,8.0,0
2823,-121.8209334,37.3003005,35,19200.0,411.0,22750.0,38.8,0,34.8,0.0,83,59,71.0,19.0,0
2824,-121.833853,37.36329974,35,3054.0,30.0,29000.0,41.0,0,36.0,0.14,65,48,56.5,14.0,1
2825,-121.88853590000002,37.3309086,25,3900.0,95.0,24300.0,30.0,0,25.5,0.0,78,54,66.0,20.0,0
2826,-121.8991365,37.33212414,25,2700.0,4.0,1200.0,27.5,0,24.0,0.0,83,57,70.0,21.0,1
2827,-121.8730531,37.3738902,40,12600.0,56.0,15950.0,43.5,0,39.3,0.0,81,56,68.5,14.0,0
2828,-121.92213490000002,37.30784488,40,2700.0,27.0,24400.0,45.0,0,41.0,0.04,74,50,62.0,23.0,1
2829,-121.89352240000002,37.3322979,30,4300.0,22.0,13100.0,33.5,0,29.0,0.0,82,60,71.0,11.0,0
2830,-121.8908536,37.3153742,25,1645.0,2.0,750.0,26.0,0,23.0,0.01,74,51,62.5,17.0,0
2831,-121.8716119,37.2896076,35,1550.0,4.0,7100.0,36.0,0,33.0,0.0,83,59,71.0,1.0,0
2832,-121.9320509,37.3990319,45,5420.0,7.0,3600.0,46.0,0,42.0,0.05,66,46,56.0,8.0,0
2833,-121.8270195,37.35083834,35,8200.0,196.0,28850.0,40.5,0,36.5,0.12,63,47,55.0,23.0,1
2834,-121.8898379,37.3917057,25,1600.0,6.0,3875.0,35.0,0,25.0,0.0,81,56,68.5,2.0,0
2835,-121.9502301,37.3273665,35,5275.0,19.0,12200.0,38.0,0,34.5,0.0,85,60,72.5,19.0,0
2836,-121.9131504,37.3772718,45,17800.0,48.0,12800.0,46.5,0,41.5,0.07,59,42,50.5,22.0,0
2837,-121.8060084,37.34150020000001,35,21367.0,165.0,20950.0,39.5,0,36.0,0.0,78,55,66.5,8.0,0
