,Unnamed: 0,LONGITUDE,LATITUDE,SPD,LEN,ACC,VOL,F85th,LOCAL,F50th,Precip,Air max,min,obs,year,month,day,hour,Accident
637,378,-121.87669209999999,37.26298958,40,5290.0,19.0,21000.0,43.0,0,40.3,0.0,82,58,70.0,2015.0,8.0,5.0,0.0,1
638,1312,37.391173200000004,-121.86550359999998,35,6150.0,30.0,8400.0,38.5,0,35.0,0.12,61,44,52.5,2016.0,2.0,2.0,2.0,0
639,325,-121.8771635,37.34254688,30,7300.0,79.0,12500.0,34.0,0,30.5,0.12,69,48,58.5,2015.0,3.0,20.0,16.0,1
640,26,-121.87084920000001,37.31331628,25,4830.0,19.0,7950.0,29.5,0,26.5,0.08,64,46,55.0,2013.0,2.0,26.0,1.0,1
641,724,-121.8079642,37.31619611,40,3300.0,42.0,31850.0,43.0,0,39.5,0.01,70,49,59.5,2017.0,4.0,10.0,20.0,1
642,954,37.35000820000001,-121.8739225,25,4980.0,7.0,4500.0,29.5,0,28.0,0.15,58,42,50.0,2015.0,1.0,1.0,11.0,0
643,112,-121.9135686,37.36700284,40,2000.0,20.0,7500.0,41.0,0,36.0,0.0,84,58,71.0,2013.0,9.0,2.0,3.0,1
644,946,37.2602948,-121.85460800000001,30,2150.0,3.0,2900.0,34.0,0,31.0,0.0,73,50,61.5,2015.0,4.0,26.0,6.0,0
645,352,-121.89057890000001,37.33617248,20,3250.0,33.0,4300.0,21.5,0,19.5,0.01,76,54,65.0,2015.0,5.0,29.0,21.0,1
646,1157,37.2938456,-122.02367679999999,30,4750.0,4.0,3900.0,33.0,0,29.5,0.0,69,48,58.5,2016.0,11.0,5.0,14.0,0
647,507,-121.8449318,37.29984476,35,4000.0,12.0,7150.0,38.0,0,34.0,0.02,69,47,58.0,2016.0,3.0,29.0,19.0,1
648,515,-121.92329270000002,37.31070177,35,5200.0,68.0,12150.0,37.5,0,33.5,0.07,70,49,59.5,2016.0,4.0,16.0,21.0,1
649,540,-121.8903767,37.33315881,25,3900.0,95.0,24300.0,30.0,0,25.5,0.0,77,55,66.0,2016.0,6.0,11.0,2.0,1
650,1146,37.3904627,-121.842445,35,5500.0,42.0,13600.0,38.3,0,34.0,0.03,76,54,65.0,2015.0,5.0,28.0,8.0,0
651,929,37.219704,-121.87906299999999,25,3575.0,1.0,210.0,32.0,1,25.0,0.0,78,57,67.5,2017.0,9.0,15.0,1.0,0
652,1172,37.33191070000001,-121.9038604,30,2250.0,25.0,16950.0,34.0,0,30.0,0.0,82,58,70.0,2014.0,8.0,5.0,5.0,0
653,700,-121.85905349999999,37.3511407,35,3054.0,30.0,29000.0,41.0,0,36.0,0.05,66,46,56.0,2017.0,3.0,8.0,8.0,1
654,863,37.3732245,-121.90771950000001,30,1150.0,1.0,2800.0,34.0,0,30.0,0.0,83,57,70.0,2016.0,7.0,7.0,13.0,0
655,425,-121.83057099999999,37.23368185,40,5320.0,37.0,14250.0,42.5,0,38.5,0.0,70,49,59.5,2015.0,11.0,4.0,14.0,1
656,464,-121.87743859999999,37.33011919,30,5000.0,50.0,7900.0,33.3,0,30.0,0.17,58,42,50.0,2016.0,1.0,2.0,19.0,1
657,164,-121.84016059999999,37.30013353,40,15150.0,187.0,23450.0,42.8,0,38.5,0.12,58,42,50.0,2014.0,1.0,7.0,18.0,1
658,840,-121.86883519999999,37.32620044,30,14650.0,183.0,25700.0,34.3,0,30.5,0.05,59,41,50.0,2017.0,12.0,16.0,23.0,1
659,652,-121.84692009999999,37.28922709,30,3900.0,23.0,6250.0,32.5,0,29.5,0.08,61,44,52.5,2016.0,12.0,9.0,17.0,1
660,1046,37.2182497,-121.8783639,25,1550.0,1.0,3100.0,29.0,0,27.0,0.15,63,47,55.0,2015.0,3.0,3.0,23.0,0
661,634,-121.801923,37.312421,40,10990.0,71.0,25800.0,43.7,0,39.3,0.08,66,47,56.5,2016.0,11.0,11.0,20.0,1
662,1236,37.32918799999999,-121.9010384,25,8166.0,47.0,8750.0,29.0,0,25.7,0.07,61,45,53.0,2013.0,12.0,6.0,3.0,0
663,287,-121.8423457,37.39045273,30,2500.0,1.0,7900.0,34.5,0,30.0,0.15,56,42,49.0,2014.0,12.0,28.0,8.0,1
664,474,-121.85698229999998,37.37521288,35,3040.0,12.0,18600.0,38.0,0,35.0,0.06,60,44,52.0,2016.0,1.0,28.0,8.0,1
665,896,37.241124400000004,-121.901651,30,3600.0,3.0,1900.0,32.0,0,27.0,0.05,72,51,61.5,2017.0,4.0,28.0,23.0,0
666,694,-121.99063149999999,37.29051941,35,5650.0,53.0,16550.0,40.0,0,36.0,0.1,63,45,54.0,2017.0,2.0,23.0,11.0,1
667,1079,37.325028100000004,-121.83330670000001,25,2100.0,36.0,6400.0,34.0,1,25.0,0.03,59,44,51.5,2013.0,12.0,13.0,8.0,0
668,665,-121.77938780000001,37.27664891,35,2000.0,0.0,1250.0,39.0,0,34.0,0.06,58,41,49.5,2017.0,1.0,3.0,1.0,1
669,1033,37.33971010000001,-121.88990659999999,30,3600.0,26.0,3100.0,31.0,0,28.7,0.02,61,43,52.0,2017.0,2.0,1.0,13.0,0
670,1081,37.310140000000004,-121.7688909,25,2900.0,0.0,340.0,37.0,1,25.0,0.0,84,58,71.0,2013.0,9.0,2.0,0.0,0
671,200,-121.77917,37.23646578,40,1850.0,6.0,17600.0,42.0,0,36.0,0.04,74,50,62.0,2014.0,4.0,27.0,22.0,1
672,1329,37.4129152,-121.9416344,35,2950.0,6.0,3300.0,37.0,0,32.5,0.02,75,52,63.5,2016.0,10.0,15.0,14.0,0
673,1080,37.3330193,-121.87132549999998,25,3855.0,5.0,1400.0,28.0,0,24.0,0.02,80,57,68.5,2014.0,9.0,24.0,20.0,0
674,832,-121.90166370000001,37.30927091,30,3775.0,19.0,11300.0,32.5,0,29.5,0.07,61,43,52.0,2017.0,12.0,3.0,8.0,1
675,375,-121.880191,37.31620135,30,5000.0,50.0,7900.0,33.3,0,30.0,0.0,82,59,70.5,2015.0,7.0,25.0,17.0,1
676,1335,37.33971010000001,-121.88990659999999,30,3600.0,26.0,3100.0,31.0,0,28.7,0.0,78,56,67.0,2015.0,6.0,2.0,0.0,0
677,29,-121.86270320000001,37.35674946,35,8200.0,197.0,17650.0,36.3,0,32.5,0.09,63,46,54.5,2013.0,3.0,4.0,20.0,1
678,900,37.279762299999994,-121.67803629999999,40,3500.0,8.0,14100.0,44.0,0,40.0,0.2,64,46,55.0,2014.0,2.0,27.0,19.0,0
679,65,-121.86998259999999,37.3034615,40,4100.0,17.0,9100.0,39.7,0,36.0,0.0,75,51,63.0,2013.0,5.0,11.0,20.0,1
680,7,-121.8430265,37.37008225,35,18700.0,76.0,21150.0,40.0,0,36.0,0.07,59,42,50.5,2013.0,1.0,17.0,8.0,1
681,1167,37.3438629,-121.87435420000001,25,7300.0,21.0,2600.0,29.7,0,27.0,0.04,66,47,56.5,2013.0,3.0,14.0,17.0,0
682,660,-121.8419098,37.27693303,40,2350.0,18.0,13750.0,43.0,0,39.0,0.05,57,39,48.0,2016.0,12.0,25.0,0.0,1
683,935,37.3396664,-121.92452340000001,30,6100.0,63.0,13950.0,34.0,0,30.3,0.0,75,52,63.5,2015.0,10.0,18.0,5.0,0
684,494,-121.90402150000001,37.29204813,30,2000.0,3.0,10800.0,33.0,0,30.0,0.04,65,46,55.5,2016.0,2.0,29.0,13.0,1
685,313,-121.9011983,37.32420542,35,2180.0,18.0,6250.0,39.0,0,35.0,0.14,64,46,55.0,2015.0,2.0,25.0,19.0,1
686,979,37.3332786,-121.91398429999998,30,1900.0,4.0,4550.0,29.0,0,25.0,0.04,72,51,61.5,2017.0,4.0,21.0,16.0,0
687,1341,37.2806583,-121.9943111,35,3200.0,26.0,16720.0,39.0,0,34.0,0.0,83,58,70.5,2016.0,7.0,10.0,3.0,0
688,942,37.2805049,-121.8887318,25,6400.0,1.0,1850.0,29.8,0,26.8,0.0,82,58,70.0,2013.0,7.0,3.0,21.0,0
689,121,-121.85244420000001,37.29472253,35,4000.0,12.0,7150.0,38.0,0,34.0,0.02,82,57,69.5,2013.0,9.0,22.0,0.0,1
690,104,-121.8340494,37.294179299999996,40,15150.0,187.0,23450.0,42.8,0,38.5,0.0,85,60,72.5,2013.0,8.0,8.0,20.0,1
691,762,-121.8843118,37.3450762,35,2000.0,50.0,15700.0,36.0,0,32.0,0.0,81,58,69.5,2017.0,6.0,30.0,5.0,1
692,957,37.2148343,-121.867204,25,2380.0,0.0,1300.0,29.5,0,25.5,0.0,71,48,59.5,2013.0,11.0,1.0,20.0,0
693,444,-121.86333940000002,37.26582582,35,3440.0,8.0,7900.0,39.0,0,37.0,0.1,59,44,51.5,2015.0,12.0,11.0,21.0,1
694,510,-121.8099925,37.2637122,25,1065.0,1.0,1250.0,27.0,0,23.0,0.03,69,49,59.0,2016.0,4.0,6.0,8.0,1
695,365,-121.8308334,37.2910942,25,2100.0,8.0,2550.0,29.5,0,26.0,0.0,81,58,69.5,2015.0,6.0,28.0,20.0,1
696,1150,37.3353685,-121.89661670000001,20,6890.0,39.0,3000.0,25.5,0,22.0,0.03,64,46,55.0,2014.0,11.0,19.0,2.0,0
697,1324,37.221661299999994,-121.8820644,35,8750.0,30.0,10800.0,39.3,0,36.0,0.04,72,51,61.5,2016.0,4.0,21.0,12.0,0
698,1297,37.31865450000001,-121.8653994,35,3000.0,28.0,11000.0,42.0,0,37.0,0.0,77,55,66.0,2013.0,6.0,11.0,5.0,0
699,1049,37.2826309,-121.82787809999999,25,2800.0,17.0,2500.0,37.0,1,25.0,0.0,80,58,69.0,2014.0,8.0,18.0,3.0,0
700,548,-121.86126999999999,37.25039699,40,20000.0,120.0,22100.0,45.0,0,40.5,0.0,81,58,69.5,2016.0,6.0,30.0,21.0,1
701,473,-121.8959649,37.35691517,35,3700.0,10.0,11750.0,39.0,0,34.5,0.18,60,44,52.0,2016.0,1.0,27.0,17.0,1
702,1053,37.3187249,-121.7606636,35,4050.0,9.0,2700.0,39.0,0,35.5,0.03,73,51,62.0,2013.0,4.0,22.0,23.0,0
703,595,-121.8332983,37.34767178,35,8350.0,140.0,20900.0,38.0,0,33.7,0.0,79,58,68.5,2016.0,9.0,14.0,18.0,1
704,847,-121.86937830000001,37.36681335,40,6650.0,32.0,12400.0,41.5,0,38.0,0.16,56,41,48.5,2017.0,12.0,21.0,2.0,1
705,1073,37.2362739,-121.9129923,25,5000.0,6.0,3100.0,31.0,0,28.3,0.08,68,47,57.5,2013.0,3.0,17.0,16.0,0
706,63,-121.84402820000001,37.35398049,35,4000.0,43.0,11400.0,37.0,0,34.0,0.02,73,51,62.0,2013.0,5.0,1.0,9.0,1
707,1036,37.43105980000001,-121.96461140000001,25,1250.0,0.0,1250.0,29.0,0,25.0,0.0,83,59,71.0,2017.0,7.0,12.0,7.0,0
708,211,-121.85428590000002,37.28021781,35,2600.0,3.0,3650.0,37.0,0,33.0,0.01,77,56,66.5,2014.0,6.0,5.0,23.0,1
709,131,-121.84068290000002,37.35554407,35,8200.0,196.0,28850.0,40.5,0,36.5,0.09,76,53,64.5,2013.0,10.0,13.0,18.0,1
710,891,37.2757352,-121.877133,30,2400.0,1.0,3200.0,33.0,0,30.0,0.0,80,57,68.5,2015.0,8.0,21.0,8.0,0
711,139,-121.95013090000002,37.31609336,40,2800.0,41.0,24600.0,41.0,0,38.0,0.08,66,47,56.5,2013.0,11.0,11.0,8.0,1
712,254,-121.8577153,37.36013096,35,8200.0,197.0,17650.0,36.3,0,32.5,0.0,78,54,66.0,2014.0,10.0,3.0,7.0,1
713,868,37.36342,-121.91287790000001,25,1760.0,2.0,4000.0,31.0,1,25.0,0.17,63,47,55.0,2014.0,2.0,17.0,11.0,0
714,1313,37.361619399999995,-121.8836519,35,3040.0,12.0,18600.0,38.0,0,35.0,0.01,76,53,64.5,2017.0,5.0,19.0,13.0,0
715,205,-121.8489486,37.35164087,35,4000.0,43.0,11400.0,37.0,0,34.0,0.02,73,51,62.0,2014.0,5.0,1.0,19.0,1
716,396,-121.86119099999999,37.3035989,40,7150.0,199.0,30600.0,42.0,0,38.0,0.0,83,58,70.5,2015.0,9.0,7.0,17.0,1
717,830,-121.7659172,37.3223535,35,2900.0,0.0,1150.0,39.0,0,35.0,0.09,61,44,52.5,2017.0,11.0,24.0,20.0,1
718,175,-121.8308334,37.2910942,25,2100.0,8.0,2550.0,29.5,0,26.0,0.06,60,44,52.0,2014.0,1.0,28.0,6.0,1
719,1208,37.19092910000001,-121.74981229999999,55,28000.0,79.0,15150.0,57.8,0,51.3,0.01,80,57,68.5,2014.0,9.0,9.0,20.0,0
720,1163,37.4036297,-121.98749199999999,35,5000.0,15.0,13600.0,39.5,0,36.0,0.08,61,44,52.5,2017.0,12.0,7.0,14.0,0
